time,area
1992-02-01,13.58
1992-03-01,13.48
1992-04-01,12.84
1992-05-01,11.43
1992-06-01,9.95
1992-07-01,7.22
1992-08-01,5.44
1992-09-01,5.43
1992-10-01,7.74
1992-11-01,9.75
1992-12-01,11.72
1993-01-01,12.93
1993-02-01,13.61
1993-03-01,13.77
1993-04-01,13.03
1993-05-01,11.42
1993-06-01,9.26
1993-07-01,6.28
1993-08-01,4.76
1993-09-01,4.58
1993-10-01,7.06
1993-11-01,9.54
1993-12-01,11.48
1994-01-01,12.88
1994-02-01,13.52
1994-03-01,13.55
1994-04-01,12.91
1994-05-01,11.66
1994-06-01,9.68
1994-07-01,6.92
1994-08-01,5.19
1994-09-01,5.13
1994-10-01,7.23
1994-11-01,9.71
1994-12-01,11.49
1995-01-01,12.79
1995-02-01,13.37
1995-03-01,13.34
1995-04-01,12.4
1995-05-01,10.9
1995-06-01,8.94
1995-07-01,6.16
1995-08-01,4.69
1995-09-01,4.43
1995-10-01,5.99
1995-11-01,9.03
1995-12-01,11.09
1996-01-01,12.15
1996-02-01,12.98
1996-03-01,12.9
1996-04-01,12.32
1996-05-01,11.28
1996-06-01,9.83
1996-07-01,7.44
1996-08-01,5.73
1996-09-01,5.62
1996-10-01,7.54
1996-11-01,8.77
1996-12-01,11.03
1997-01-01,12.39
1997-02-01,13.44
1997-03-01,13.3
1997-04-01,12.57
1997-05-01,11.24
1997-06-01,9.2
1997-07-01,6.5
1997-08-01,5.09
1997-09-01,4.89
1997-10-01,6.47
1997-11-01,9.07
1997-12-01,11.24
1998-01-01,12.81
1998-02-01,13.77
1998-03-01,13.57
1998-04-01,12.85
1998-05-01,11.4
1998-06-01,9.18
1998-07-01,6.45
1998-08-01,4.69
1998-09-01,4.3
1998-10-01,6.71
1998-11-01,8.88
1998-12-01,10.91
1999-01-01,12.6
1999-02-01,13.45
1999-03-01,13.54
1999-04-01,13.15
1999-05-01,11.66
1999-06-01,9.25
1999-07-01,6.55
1999-08-01,4.75
1999-09-01,4.29
1999-10-01,6.83
1999-11-01,9.26
1999-12-01,10.99
2000-01-01,12.3
2000-02-01,13.09
2000-03-01,13.17
2000-04-01,12.6
2000-05-01,11.24
2000-06-01,9.05
2000-07-01,6.39
2000-08-01,4.78
2000-09-01,4.35
2000-10-01,6.69
2000-11-01,8.87
2000-12-01,10.96
2001-01-01,12.35
2001-02-01,13.22
2001-03-01,13.64
2001-04-01,13.05
2001-05-01,11.38
2001-06-01,9.09
2001-07-01,6.29
2001-08-01,4.94
2001-09-01,4.59
2001-10-01,6.65
2001-11-01,9.08
2001-12-01,10.55
2002-01-01,12.26
2002-02-01,13.42
2002-03-01,13.42
2002-04-01,12.41
2002-05-01,11.16
2002-06-01,9.19
2002-07-01,6.44
2002-08-01,4.32
2002-09-01,4.03
2002-10-01,6.24
2002-11-01,8.75
2002-12-01,10.64
2003-01-01,12.29
2003-02-01,13.23
2003-03-01,13.42
2003-04-01,12.46
2003-05-01,10.89
2003-06-01,9.11
2003-07-01,6.15
2003-08-01,4.52
2003-09-01,4.05
2003-10-01,5.98
2003-11-01,8.57
2003-12-01,10.8
2004-01-01,12.26
2004-02-01,12.94
2004-03-01,12.99
2004-04-01,12.16
2004-05-01,10.92
2004-06-01,9.24
2004-07-01,6.51
2004-08-01,4.67
2004-09-01,4.39
2004-10-01,6.4
2004-11-01,8.95
2004-12-01,10.98
2005-01-01,11.92
2005-02-01,12.35
2005-03-01,12.74
2005-04-01,12.23
2005-05-01,10.88
2005-06-01,8.81
2005-07-01,5.9
2005-08-01,4.21
2005-09-01,4.07
2005-10-01,5.78
2005-11-01,8.8
2005-12-01,10.56
2006-01-01,11.65
2006-02-01,12.35
2006-03-01,12.52
2006-04-01,12.04
2006-05-01,10.45
2006-06-01,8.41
2006-07-01,5.79
2006-08-01,4.31
2006-09-01,4.01
2006-10-01,5.8
2006-11-01,8.13
2006-12-01,10.17
2007-01-01,11.86
2007-02-01,12.58
2007-03-01,12.56
2007-04-01,11.83
2007-05-01,10.77
2007-06-01,8.21
2007-07-01,5.13
2007-08-01,3.19
2007-09-01,2.82
2007-10-01,4.33
2007-11-01,8.06
2007-12-01,10.18
2008-01-01,12.3
2008-02-01,13.21
2008-03-01,13.53
2008-04-01,12.78
2008-05-01,11.25
2008-06-01,8.85
2008-07-01,6.06
2008-08-01,3.79
2008-09-01,3.26
2008-10-01,5.77
2008-11-01,9.05
2008-12-01,10.97
2009-01-01,12.32
2009-02-01,13.21
2009-03-01,13.43
2009-04-01,12.92
2009-05-01,11.48
2009-06-01,9.25
2009-07-01,6.12
2009-08-01,4.16
2009-09-01,3.76
2009-10-01,5.24
2009-11-01,8.36
2009-12-01,10.59
2010-01-01,12.04
2010-02-01,12.96
2010-03-01,13.53
2010-04-01,12.85
2010-05-01,10.88
2010-06-01,8.37
2010-07-01,5.57
2010-08-01,3.88
2010-09-01,3.34
2010-10-01,5.48
2010-11-01,8.43
2010-12-01,10.43
2011-01-01,11.83
2011-02-01,12.76
2011-03-01,12.83
2011-04-01,12.45
2011-05-01,10.74
2011-06-01,8.54
2011-07-01,5.4
2011-08-01,3.38
2011-09-01,3.21
2011-10-01,5.02
2011-11-01,8.52
2011-12-01,10.63
2012-01-01,12.21
2012-02-01,12.72
2012-03-01,13.41
2012-04-01,12.87
2012-05-01,11.05
2012-06-01,8.16
2012-07-01,5.09
2012-08-01,2.93
2012-09-01,2.41
2012-10-01,4.58
2012-11-01,8.06
2012-12-01,10.45
2013-01-01,12.02
2013-02-01,13.2
2013-03-01,13.45
2013-04-01,12.75
2013-05-01,11.25
2013-06-01,8.95
2013-07-01,5.81
2013-08-01,4.17
2013-09-01,3.78
2013-10-01,5.95
2013-11-01,8.66
2013-12-01,10.87
2014-01-01,12.1
2014-02-01,12.56
2014-03-01,12.95
2014-04-01,12.43
2014-05-01,11.05
2014-06-01,8.76
2014-07-01,5.96
2014-08-01,4.37
2014-09-01,3.74
2014-10-01,5.7
2014-11-01,8.75
2014-12-01,10.89
2015-01-01,12.17
2015-02-01,12.85
2015-03-01,12.78
2015-04-01,12.33
2015-05-01,10.9
2015-06-01,8.7
2015-07-01,5.66
2015-08-01,3.63
2015-09-01,3.42
2015-10-01,5.49
2015-11-01,8.48
2015-12-01,10.64
2016-01-01,11.8
2016-02-01,12.43
2016-03-01,12.61
2016-04-01,11.98
2016-05-01,10.25
2016-06-01,8.21
2016-07-01,5.37
2016-08-01,3.31
2016-09-01,2.91
2016-10-01,4.4
2016-11-01,7.01
2016-12-01,9.62
2017-01-01,11.37
2017-02-01,12.32
2017-03-01,12.61
2017-04-01,12.26
2017-05-01,11.01
2017-06-01,8.63
2017-07-01,5.65
2017-08-01,3.64
2017-09-01,3.35
2017-10-01,5.3
2017-11-01,8.08
2017-12-01,10.26
2018-01-01,11.7
2018-02-01,12.31
2018-03-01,12.69
2018-04-01,12.28
2018-05-01,10.81
2018-06-01,8.79
2018-07-01,5.76
2018-08-01,3.9
2018-09-01,3.35
2018-10-01,4.59
2018-11-01,8.43
2018-12-01,10.45
2019-01-01,12.14
2019-02-01,12.76
2019-03-01,12.89
2019-04-01,11.9
2019-05-01,10.5
2019-06-01,8.32
2019-07-01,5.13
2019-08-01,3.24
2019-09-01,3.17
2019-10-01,4.53
2019-11-01,7.98
2019-12-01,10.52
2020-01-01,12.15
2020-02-01,12.95
2020-03-01,13.03
2020-04-01,12.02
2020-05-01,10.51
2020-06-01,8.41
2020-07-01,5.07
2020-08-01,3.1
2020-09-01,2.83
2020-10-01,4.11
2020-11-01,7.53
2020-12-01,10.16
2021-01-01,11.71
2021-02-01,12.71
2021-03-01,12.91
2021-04-01,12.13
2021-05-01,10.82
2021-06-01,8.38
2021-07-01,5.55
2021-08-01,3.77
2021-09-01,3.43
2021-10-01,5.41
